group,groupcode,species,scientific,raritycode,pelagic,shorebird,passerine
Sandpiper/Allies,33,Common Greenshank,Tringa nebularia,3,0,1,0
Sandpiper/Allies,33,Willet,Tringa semipalmata,1,0,1,0
Sandpiper/Allies,33,Lesser Yellowlegs,Tringa flavipes,1,0,1,0
Sandpiper/Allies,33,Marsh Sandpiper,Tringa stagnatilis,5,0,1,0
Sandpiper/Allies,33,Wood Sandpiper,Tringa glareola,2,0,1,0
Sandpiper/Allies,33,Common Redshank,Tringa totanus,5,0,1,0
Sandpiper/Allies,33,Upland Sandpiper,Bartramia longicauda,1,0,1,0
Sandpiper/Allies,33,Little Curlew,Numenius minutus,5,0,1,0
Sandpiper/Allies,33,Eskimo Curlew,Numenius borealis,6,0,1,0
Sandpiper/Allies,33,Whimbrel,Numenius phaeopus,1,0,1,0
Sandpiper/Allies,33,Bristle-thighed Curlew,Numenius tahitiensis,2,0,1,0
Sandpiper/Allies,33,Far Eastern Curlew,Numenius madagascariensis,4,0,1,0
Sandpiper/Allies,33,Slender-billed Curlew,Numenius tenuirostris,6,0,1,0
Sandpiper/Allies,33,Eurasian Curlew,Numenius arquata,4,0,1,0
Sandpiper/Allies,33,Long-billed Curlew,Numenius americanus,1,0,1,0
Sandpiper/Allies,33,Black-tailed Godwit,Limosa limosa,3,0,1,0
Sandpiper/Allies,33,Hudsonian Godwit,Limosa haemastica,1,0,1,0
Sandpiper/Allies,33,Bar-tailed Godwit,Limosa lapponica,2,0,1,0
Sandpiper/Allies,33,Marbled Godwit,Limosa fedoa,1,0,1,0
Sandpiper/Allies,33,Ruddy Turnstone,Arenaria interpres,1,0,1,0
Sandpiper/Allies,33,Black Turnstone,Arenaria melanocephala,1,0,1,0
Sandpiper/Allies,33,Surfbird,Aphriza virgata,1,0,1,0
Sandpiper/Allies,33,Great Knot,Calidris tenuirostris,4,0,1,0
Sandpiper/Allies,33,Red Knot,Calidris canutus,1,0,1,0
Sandpiper/Allies,33,Sanderling,Calidris alba,1,0,1,0
Sandpiper/Allies,33,Semipalmated Sandpiper,Calidris pusilla,1,0,1,0
Sandpiper/Allies,33,Western Sandpiper,Calidris mauri,1,0,1,0
Sandpiper/Allies,33,Red-necked Stint,Calidris ruficollis,3,0,1,0
Sandpiper/Allies,33,Little Stint,Calidris minuta,4,0,1,0
Sandpiper/Allies,33,Temminck's Stint,Calidris temminckii,3,0,1,0
Sandpiper/Allies,33,Long-toed Stint,Calidris subminuta,3,0,1,0
Sandpiper/Allies,33,Least Sandpiper,Calidris minutilla,1,0,1,0
Sandpiper/Allies,33,White-rumped Sandpiper,Calidris fuscicollis,1,0,1,0
Sandpiper/Allies,33,Baird's Sandpiper,Calidris bairdii,1,0,1,0
Sandpiper/Allies,33,Pectoral Sandpiper,Calidris melanotos,1,0,1,0
Sandpiper/Allies,33,Sharp-tailed Sandpiper,Calidris acuminata,3,0,1,0
Sandpiper/Allies,33,Purple Sandpiper,Calidris maritima,1,0,1,0
Sandpiper/Allies,33,Rock Sandpiper,Calidris ptilocnemis,2,0,1,0
Sandpiper/Allies,33,Dunlin,Calidris alpina,1,0,1,0
Sandpiper/Allies,33,Curlew Sandpiper,Calidris ferruginea,3,0,1,0
Sandpiper/Allies,33,Stilt Sandpiper,Calidris himantopus,1,0,1,0
Sandpiper/Allies,33,Spoon-billed Sandpiper,Eurynorhynchus pygmeus,4,0,1,0
Sandpiper/Allies,33,Broad-billed Sandpiper,Limicola falcinellus,4,0,1,0
Sandpiper/Allies,33,Buff-breasted Sandpiper,Tryngites subruficollis,1,0,1,0
Sandpiper/Allies,33,Ruff,Philomachus pugnax,3,0,1,0
Sandpiper/Allies,33,Short-billed Dowitcher,Limnodromus griseus,1,0,1,0
Sandpiper/Allies,33,Long-billed Dowitcher,Limnodromus scolopaceus,1,0,1,0
Sandpiper/Allies,33,Jack Snipe,Lymnocryptes minimus,4,0,1,0
Sandpiper/Allies,33,Wilson's Snipe,Gallinago delicata,1,0,1,0
Sandpiper/Allies,33,Common Snipe,Gallinago gallinago,3,0,1,0
Sandpiper/Allies,33,Pin-tailed Snipe,Gallinago stenura,5,0,1,0
Sandpiper/Allies,33,Solitary Snipe,Gallinago solitaria,5,0,1,0
Terrestrial Shorebird,34,Eurasian Woodcock,Scolopax rusticola,5,0,0,0
Terrestrial Shorebird,34,American Woodcock,Scolopax minor,1,0,0,0
Phalarope,35,Wilson's Phalarope,Phalaropus tricolor,1,0,0,0
Phalarope,35,Red-necked Phalarope,Phalaropus lobatus,1,0,0,0
Phalarope,35,Red Phalarope,Phalaropus fulicarius,1,1,0,0
Pratincoles,36,Oriental Pratincole,Glareola maldivarum,5,0,0,0
Gulls/Terns,37,Swallow-tailed Gull,Creagrus furcatus,5,0,0,0
Gulls/Terns,37,Black-legged Kittiwake,Rissa tridactyla,1,0,0,0
Gulls/Terns,37,Red-legged Kittiwake,Rissa brevirostris,2,0,0,0
Gulls/Terns,37,Ivory Gull,Pagophila eburnea,3,0,0,0
Gulls/Terns,37,Sabine's Gull,Xema sabini,1,0,0,0
Gulls/Terns,37,Bonaparte's Gull,Chroicocephalus philadelphia,1,0,0,0
Gulls/Terns,37,Gray-hooded Gull,Chroicocephalus cirrocephalus,5,0,0,0
Gulls/Terns,37,Black-headed Gull,Chroicocephalus ridibundus,3,0,0,0
Gulls/Terns,37,Little Gull,Hydrocoloeus minutus,3,0,0,0
Gulls/Terns,37,Ross's Gull,Rhodostethia rosea,3,0,0,0
Gulls/Terns,37,Laughing Gull,Leucophaeus atricilla,1,0,0,0
Gulls/Terns,37,Franklin's Gull,Leucophaeus pipixcan,1,0,0,0
Gulls/Terns,37,Belcher's Gull,Larus belcheri,5,0,0,0
Gulls/Terns,37,Black-tailed Gull,Larus crassirostris,4,0,0,0
Gulls/Terns,37,Heermann's Gull,Larus heermanni,1,0,0,0
Gulls/Terns,37,Mew Gull,Larus canus,1,0,0,0
Gulls/Terns,37,Ring-billed Gull,Larus delawarensis,1,0,0,0
Gulls/Terns,37,Western Gull,Larus occidentalis,1,0,0,0
Gulls/Terns,37,Yellow-footed Gull,Larus livens,2,0,0,0
Gulls/Terns,37,California Gull,Larus californicus,1,0,0,0
Gulls/Terns,37,Herring Gull,Larus argentatus,1,0,0,0
Gulls/Terns,37,Yellow-legged Gull,Larus michahellis,4,0,0,0
Gulls/Terns,37,Thayer's Gull,Larus thayeri,2,0,0,0
Gulls/Terns,37,Iceland Gull,Larus glaucoides,2,0,0,0
Gulls/Terns,37,Lesser Black-backed Gull,Larus fuscus,2,0,0,0
