group,groupcode,species,scientific,raritycode,pelagic,shorebird,passerine
Thrushes,74,Gray-cheeked Thrush,Catharus minimus,1,0,0,1
Thrushes,74,Bicknell's Thrush,Catharus bicknelli,2,0,0,1
Thrushes,74,Swainson's Thrush,Catharus ustulatus,1,0,0,1
Thrushes,74,Hermit Thrush,Catharus guttatus,1,0,0,1
Thrushes,74,Wood Thrush,Hylocichla mustelina,1,0,0,1
Thrushes,74,Eurasian Blackbird,Turdus merula,5,0,0,1
Thrushes,74,Eyebrowed Thrush,Turdus obscurus,3,0,0,1
Thrushes,74,Dusky Thrush,Turdus naumanni,4,0,0,1
Thrushes,74,Fieldfare,Turdus pilaris,4,0,0,1
Thrushes,74,Redwing,Turdus iliacus,4,0,0,1
Thrushes,74,Song Thrush,Turdus philomelos,5,0,0,1
Thrushes,74,Clay-colored Thrush,Turdus grayi,3,0,0,1
Thrushes,74,White-throated Thrush,Turdus assimilis,4,0,0,1
Thrushes,74,Rufous-backed Robin,Turdus rufopalliatus,3,0,0,1
Thrushes,74,American Robin,Turdus migratorius,1,0,0,1
Thrushes,74,Red-legged Thrush,Turdus plumbeus,5,0,0,1
Thrushes,74,Varied Thrush,Ixoreus naevius,1,0,0,1
Thrushes,74,Aztec Thrush,Ridgwayia pinicola,4,0,0,1
Mimids,75,Gray Catbird,Dumetella carolinensis,1,0,0,1
Mimids,75,Northern Mockingbird,Mimus polyglottos,1,0,0,1
Mimids,75,Bahama Mockingbird,Mimus gundlachii,4,0,0,1
Mimids,75,Sage Thrasher,Oreoscoptes montanus,1,0,0,1
Mimids,75,Brown Thrasher,Toxostoma rufum,1,0,0,1
Mimids,75,Long-billed Thrasher,Toxostoma longirostre,2,0,0,1
Mimids,75,Bendire's Thrasher,Toxostoma bendirei,2,0,0,1
Mimids,75,Curve-billed Thrasher,Toxostoma curvirostre,1,0,0,1
Mimids,75,California Thrasher,Toxostoma redivivum,2,0,0,1
Mimids,75,Crissal Thrasher,Toxostoma crissale,2,0,0,1
Mimids,75,Le Conte's Thrasher,Toxostoma lecontei,2,0,0,1
Mimids,75,Blue Mockingbird,Melanotis caerulescens,5,0,0,1
Starlings,76,European Starling,Sturnus vulgaris,1,0,0,1
Starlings,76,Common Myna,Acridotheres tristis,2,0,0,1
Accentors,77,Siberian Accentor,Prunella montanella,4,0,0,1
Pipits/Wagtails,78,Eastern Yellow Wagtail,Motacilla tschutschensis,2,0,0,1
Pipits/Wagtails,78,Citrine Wagtail,Motacilla citreola,5,0,0,1
Pipits/Wagtails,78,Gray Wagtail,Motacilla cinerea,4,0,0,1
Pipits/Wagtails,78,White Wagtail,Motacilla alba,3,0,0,1
Pipits/Wagtails,78,Tree Pipit,Anthus trivialis,5,0,0,1
Pipits/Wagtails,78,Olive-backed Pipit,Anthus hodgsoni,3,0,0,1
Pipits/Wagtails,78,Pechora Pipit,Anthus gustavi,4,0,0,1
Pipits/Wagtails,78,Red-throated Pipit,Anthus cervinus,3,0,0,1
Pipits/Wagtails,78,American Pipit,Anthus rubescens,1,0,0,1
Pipits/Wagtails,78,Sprague's Pipit,Anthus spragueii,2,0,0,1
Waxwings,79,Bohemian Waxwing,Bombycilla garrulus,2,0,0,1
Waxwings,79,Cedar Waxwing,Bombycilla cedrorum,1,0,0,1
Silky-flycatchers,80,Gray Silky-flycatcher,Ptilogonys cinereus,5,0,0,1
Silky-flycatchers,80,Phainopepla,Phainopepla nitens,1,0,0,1
Olive_Warblers,81,Olive Warbler,Peucedramus taeniatus,2,0,0,1
Longspurs/Snowbuntings,82,Lapland Longspur,Calcarius lapponicus,1,0,0,1
Longspurs/Snowbuntings,82,Chestnut-collared Longspur,Calcarius ornatus,1,0,0,1
Longspurs/Snowbuntings,82,Smith's Longspur,Calcarius pictus,2,0,0,1
Longspurs/Snowbuntings,82,McCown's Longspur,Rhynchophanes mccownii,2,0,0,1
Longspurs/Snowbuntings,82,Snow Bunting,Plectrophenax nivalis,1,0,0,1
Longspurs/Snowbuntings,82,McKay's Bunting,Plectrophenax hyperboreus,2,0,0,1
Warblers,83,Ovenbird,Seiurus aurocapilla,1,0,0,1
Warblers,83,Worm-eating Warbler,Helmitheros vermivorum,1,0,0,1
Warblers,83,Louisiana Waterthrush,Parkesia motacilla,1,0,0,1
Warblers,83,Northern Waterthrush,Parkesia noveboracensis,1,0,0,1
Warblers,83,Bachman's Warbler,Vermivora bachmanii,6,0,0,1
Warblers,83,Golden-winged Warbler,Vermivora chrysoptera,2,0,0,1
Warblers,83,Blue-winged Warbler,Vermivora cyanoptera,1,0,0,1
Warblers,83,Black-and-white Warbler,Mniotilta varia,1,0,0,1
Warblers,83,Prothonotary Warbler,Protonotaria citrea,1,0,0,1
Warblers,83,Swainson's Warbler,Limnothlypis swainsonii,2,0,0,1
Warblers,83,Crescent-chested Warbler,Oreothlypis superciliosa,4,0,0,1
Warblers,83,Tennessee Warbler,Oreothlypis peregrina,1,0,0,1
Warblers,83,Orange-crowned Warbler,Oreothlypis celata,1,0,0,1
Warblers,83,Colima Warbler,Oreothlypis crissalis,1,0,0,1
Warblers,83,Lucy's Warbler,Oreothlypis luciae,1,0,0,1
Warblers,83,Nashville Warbler,Oreothlypis ruficapilla,1,0,0,1
Warblers,83,Virginia’s Warbler,Oreothlypis virginiae,1,0,0,1
Warblers,83,Connecticut Warbler,Oporornis agilis,2,0,0,1
Warblers,83,Gray-crowned Yellowthroat,Geothlypis poliocephala,4,0,0,1
Warblers,83,MacGillivray's Warbler,Geothlypis tolmiei,1,0,0,1
Warblers,83,Mourning Warbler,Geothlypis philadelphia,1,0,0,1
Warblers,83,Kentucky Warbler,Geothlypis formosa,1,0,0,1
Warblers,83,Common Yellowthroat,Geothlypis trichas,1,0,0,1
Warblers,83,Hooded Warbler,Setophaga citrina,1,0,0,1
Warblers,83,American Redstart,Setophaga ruticilla,1,0,0,1
Warblers,83,Kirtland's Warbler,Setophaga kirtlandii,2,0,0,1
Warblers,83,Cape May Warbler,Setophaga tigrina,1,0,0,1
Warblers,83,Cerulean Warbler,Setophaga cerulea,2,0,0,1
Warblers,83,Northern Parula,Setophaga americana,1,0,0,1
Warblers,83,Tropical Parula,Setophaga pitiayumi,3,0,0,1
Warblers,83,Magnolia Warbler,Setophaga magnolia,1,0,0,1
Warblers,83,Bay-breasted Warbler,Setophaga castanea,1,0,0,1
Warblers,83,Blackburnian Warbler,Setophaga fusca,1,0,0,1
Warblers,83,Yellow Warbler,Setophaga petechia,1,0,0,1
Warblers,83,Chestnut-sided Warbler,Setophaga pensylvanica,1,0,0,1
Warblers,83,Blackpoll Warbler,Setophaga striata,1,0,0,1
Warblers,83,Black-throated Blue Warbler,Setophaga caerulescens,1,0,0,1
Warblers,83,Palm Warbler,Setophaga palmarum,1,0,0,1
Warblers,83,Pine Warbler,Setophaga pinus,1,0,0,1
Warblers,83,Yellow-rumped Warbler,Setophaga coronata,1,0,0,1
Warblers,83,Yellow-throated Warbler,Setophaga dominica,1,0,0,1
Warblers,83,Prairie Warbler,Setophaga discolor,1,0,0,1
Warblers,83,Grace's Warbler,Setophaga graciae,1,0,0,1
Warblers,83,Black-throated Gray Warbler,Setophaga nigrescens,1,0,0,1
Warblers,83,Townsend's Warbler,Setophaga townsendi,1,0,0,1
Warblers,83,Hermit Warbler,Setophaga occidentalis,1,0,0,1
Warblers,83,Golden-cheeked Warbler,Setophaga chrysoparia,2,0,0,1
Warblers,83,Black-throated Green Warbler,Setophaga virens,1,0,0,1
Warblers,83,Fan-tailed Warbler,Basileuterus lachrymosus,4,0,0,1
Warblers,83,Rufous-capped Warbler,Basileuterus rufifrons,3,0,0,1
Warblers,83,Golden-crowned Warbler,Basileuterus culicivorus,4,0,0,1
Warblers,83,Canada Warbler,Cardellina canadensis,1,0,0,1
Warblers,83,Wilson's Warbler,Cardellina pusilla,1,0,0,1
Warblers,83,Red-faced Warbler,Cardellina rubrifrons,2,0,0,1
Warblers,83,Painted Redstart,Myioborus pictus,2,0,0,1
Warblers,83,Slate-throated Redstart,Myioborus miniatus,4,0,0,1
Warblers,83,Yellow-breasted Chat,Icteria virens,1,0,0,1
Bananaquits,84,Bananaquit,Coereba flaveola,4,0,0,1
True_Tanagers,85,Western Spindalis,Spindalis zena,3,0,0,1
Sparrows/Towhees,86,White-collared Seedeater,Sporophila torqueola,3,0,0,1
Sparrows/Towhees,86,Yellow-faced Grassquit,Tiaris olivaceus,4,0,0,1
Sparrows/Towhees,86,Black-faced Grassquit,Tiaris bicolor,4,0,0,1
Sparrows/Towhees,86,Olive Sparrow,Arremonops rufivirgatus,2,0,0,1
Sparrows/Towhees,86,Green-tailed Towhee,Pipilo chlorurus,1,0,0,1
Sparrows/Towhees,86,Spotted Towhee,Pipilo maculatus,1,0,0,1
Sparrows/Towhees,86,Eastern Towhee,Pipilo erythrophthalmus,1,0,0,1
Sparrows/Towhees,86,Rufous-crowned Sparrow,Aimophila ruficeps,1,0,0,1
Sparrows/Towhees,86,Canyon Towhee,Melozone fusca,1,0,0,1
Sparrows/Towhees,86,California Towhee,Melozone crissalis,1,0,0,1
Sparrows/Towhees,86,Abert's Towhee,Melozone aberti,1,0,0,1
Sparrows/Towhees,86,Rufous-winged Sparrow,Peucaea carpalis,2,0,0,1
Sparrows/Towhees,86,Botteri's Sparrow,Peucaea botterii,2,0,0,1
Sparrows/Towhees,86,Cassin's Sparrow,Peucaea cassinii,1,0,0,1
Sparrows/Towhees,86,Bachman's Sparrow,Peucaea aestivalis,2,0,0,1
Sparrows/Towhees,86,American Tree Sparrow,Spizella arborea,1,0,0,1
Sparrows/Towhees,86,Chipping Sparrow,Spizella passerina,1,0,0,1
Sparrows/Towhees,86,Clay-colored Sparrow,Spizella pallida,1,0,0,1
Sparrows/Towhees,86,Brewer's Sparrow,Spizella breweri,1,0,0,1
Sparrows/Towhees,86,Field Sparrow,Spizella pusilla,1,0,0,1
Sparrows/Towhees,86,Worthen's Sparrow,Spizella wortheni,5,0,0,1
Sparrows/Towhees,86,Black-chinned Sparrow,Spizella atrogularis,1,0,0,1
Sparrows/Towhees,86,Vesper Sparrow,Pooecetes gramineus,1,0,0,1
Sparrows/Towhees,86,Lark Sparrow,Chondestes grammacus,1,0,0,1
Sparrows/Towhees,86,Five-striped Sparrow,Amphispiza quinquestriata,3,0,0,1
Sparrows/Towhees,86,Black-throated Sparrow,Amphispiza bilineata,1,0,0,1
Sparrows/Towhees,86,Sage Sparrow,Artemisiospiza belli,1,0,0,1
Sparrows/Towhees,86,Lark Bunting,Calamospiza melanocorys,1,0,0,1
Sparrows/Towhees,86,Savannah Sparrow,Passerculus sandwichensis,1,0,0,1
Sparrows/Towhees,86,Grasshopper Sparrow,Ammodramus savannarum,1,0,0,1
Sparrows/Towhees,86,Baird's Sparrow,Ammodramus bairdii,2,0,0,1
Sparrows/Towhees,86,Henslow's Sparrow,Ammodramus henslowii,2,0,0,1
Sparrows/Towhees,86,Le Conte's Sparrow,Ammodramus leconteii,1,0,0,1
Sparrows/Towhees,86,Nelson's Sparrow,Ammodramus nelsoni,1,0,0,1
Sparrows/Towhees,86,Saltmarsh Sparrow,Ammodramus caudacutus,1,0,0,1
Sparrows/Towhees,86,Seaside Sparrow,Ammodramus maritimus,1,0,0,1
Sparrows/Towhees,86,Fox Sparrow,Passerella iliaca,1,0,0,1
Sparrows/Towhees,86,Song Sparrow,Melospiza melodia,1,0,0,1
Sparrows/Towhees,86,Lincoln's Sparrow,Melospiza lincolnii,1,0,0,1
Sparrows/Towhees,86,Swamp Sparrow,Melospiza georgiana,1,0,0,1
Sparrows/Towhees,86,White-throated Sparrow,Zonotrichia albicollis,1,0,0,1
Sparrows/Towhees,86,Harris's Sparrow,Zonotrichia querula,1,0,0,1
Sparrows/Towhees,86,White-crowned Sparrow,Zonotrichia leucophrys,1,0,0,1
Sparrows/Towhees,86,Golden-crowned Sparrow,Zonotrichia atricapilla,1,0,0,1
Sparrows/Towhees,86,Dark-eyed Junco,Junco hyemalis,1,0,0,1
Sparrows/Towhees,86,Yellow-eyed Junco,Junco phaeonotus,2,0,0,1
Sparrows/Towhees,86,Pine Bunting,Emberiza leucocephalos,5,0,0,1
Sparrows/Towhees,86,Yellow-browed Bunting,Emberiza chrysophrys,5,0,0,1
Sparrows/Towhees,86,Little Bunting,Emberiza pusilla,4,0,0,1
Sparrows/Towhees,86,Rustic Bunting,Emberiza rustica,3,0,0,1
Sparrows/Towhees,86,Yellow-throated Bunting,Emberiza elegans,5,0,0,1
Sparrows/Towhees,86,Yellow-breasted Bunting,Emberiza aureola,5,0,0,1
Sparrows/Towhees,86,Gray Bunting,Emberiza variabilis,5,0,0,1
Sparrows/Towhees,86,Pallas's Bunting,Emberiza pallasi,5,0,0,1
Sparrows/Towhees,86,Reed Bunting,Emberiza schoeniclus,4,0,0,1
Tang/Gros/Bunt,87,Hepatic Tanager,Piranga flava,2,0,0,1
Tang/Gros/Bunt,87,Summer Tanager,Piranga rubra,1,0,0,1
Tang/Gros/Bunt,87,Scarlet Tanager,Piranga olivacea,1,0,0,1
Tang/Gros/Bunt,87,Western Tanager,Piranga ludoviciana,1,0,0,1
Tang/Gros/Bunt,87,Flame-colored Tanager,Piranga bidentata,3,0,0,1
Tang/Gros/Bunt,87,Crimson-collared Grosbeak,Rhodothraupis celaeno,4,0,0,1
Tang/Gros/Bunt,87,Northern Cardinal,Cardinalis cardinalis,1,0,0,1
Tang/Gros/Bunt,87,Pyrrhuloxia,Cardinalis sinuatus,1,0,0,1
Tang/Gros/Bunt,87,Yellow Grosbeak,Pheucticus chrysopeplus,4,0,0,1
Tang/Gros/Bunt,87,Rose-breasted Grosbeak,Pheucticus ludovicianus,1,0,0,1
Tang/Gros/Bunt,87,Black-headed Grosbeak,Pheucticus melanocephalus,1,0,0,1
Tang/Gros/Bunt,87,Blue Bunting,Cyanocompsa parellina,4,0,0,1
Tang/Gros/Bunt,87,Blue Grosbeak,Passerina caerulea,1,0,0,1
Tang/Gros/Bunt,87,Lazuli Bunting,Passerina amoena,1,0,0,1
Tang/Gros/Bunt,87,Indigo Bunting,Passerina cyanea,1,0,0,1
Tang/Gros/Bunt,87,Varied Bunting,Passerina versicolor,2,0,0,1
Tang/Gros/Bunt,87,Painted Bunting,Passerina ciris,1,0,0,1
Tang/Gros/Bunt,87,Dickcissel,Spiza americana,1,0,0,1
Blackbirds,88,Bobolink,Dolichonyx oryzivorus,1,0,0,1
Blackbirds,88,Red-winged Blackbird,Agelaius phoeniceus,1,0,0,1
Blackbirds,88,Tricolored Blackbird,Agelaius tricolor,2,0,0,1
Blackbirds,88,Tawny-shouldered Blackbird,Agelaius humeralis,5,0,0,1
Blackbirds,88,Eastern Meadowlark,Sturnella magna,1,0,0,1
Blackbirds,88,Western Meadowlark,Sturnella neglecta,1,0,0,1
Blackbirds,88,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,1,0,0,1
Blackbirds,88,Rusty Blackbird,Euphagus carolinus,1,0,0,1
Blackbirds,88,Brewer's Blackbird,Euphagus cyanocephalus,1,0,0,1
Blackbirds,88,Common Grackle,Quiscalus quiscula,1,0,0,1
Blackbirds,88,Boat-tailed Grackle,Quiscalus major,1,0,0,1
Blackbirds,88,Great-tailed Grackle,Quiscalus mexicanus,1,0,0,1
Blackbirds,88,Shiny Cowbird,Molothrus bonariensis,3,0,0,1
Blackbirds,88,Bronzed Cowbird,Molothrus aeneus,1,0,0,1
Blackbirds,88,Brown-headed Cowbird,Molothrus ater,1,0,0,1
Blackbirds,88,Black-vented Oriole,Icterus wagleri,5,0,0,1
Blackbirds,88,Orchard Oriole,Icterus spurius,1,0,0,1
Blackbirds,88,Hooded Oriole,Icterus cucullatus,1,0,0,1
Blackbirds,88,Streak-backed Oriole,Icterus pustulatus,4,0,0,1
Blackbirds,88,Bullock's Oriole,Icterus bullockii,1,0,0,1
Blackbirds,88,Spot-breasted Oriole,Icterus pectoralis,2,0,0,1
Blackbirds,88,Altamira Oriole,Icterus gularis,2,0,0,1
Blackbirds,88,Audubon's Oriole,Icterus graduacauda,2,0,0,1
Blackbirds,88,Baltimore Oriole,Icterus galbula,1,0,0,1
Blackbirds,88,Scott's Oriole,Icterus parisorum,1,0,0,1
Finches,89,Common Chaffinch,Fringilla coelebs,4,0,0,1
Finches,89,Brambling,Fringilla montifringilla,3,0,0,1
Finches,89,Asian Rosy-Finch,Leucosticte arctoa,5,0,0,1
Finches,89,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,1,0,0,1
Finches,89,Black Rosy-Finch,Leucosticte atrata,2,0,0,1
Finches,89,Brown-capped Rosy-Finch,Leucosticte australis,2,0,0,1
Finches,89,Pine Grosbeak,Pinicola enucleator,1,0,0,1
Finches,89,Eurasian Bullfinch,Pyrrhula pyrrhula,4,0,0,1
Finches,89,Common Rosefinch,Carpodacus erythrinus,4,0,0,1
Finches,89,Purple Finch,Haemorhous purpureus,1,0,0,1
Finches,89,Cassin's Finch,Haemorhous cassinii,1,0,0,1
Finches,89,House Finch,Haemorhous mexicanus,1,0,0,1
Finches,89,Red Crossbill,Loxia curvirostra,1,0,0,1
Finches,89,White-winged Crossbill,Loxia leucoptera,2,0,0,1
Finches,89,Common Redpoll,Acanthis flammea,1,0,0,1
Finches,89,Hoary Redpoll,Acanthis hornemanni,2,0,0,1
Finches,89,Eurasian Siskin,Spinus spinus,5,0,0,1
Finches,89,Pine Siskin,Spinus pinus,1,0,0,1
Finches,89,Lesser Goldfinch,Spinus psaltria,1,0,0,1
Finches,89,Lawrence's Goldfinch,Spinus lawrencei,2,0,0,1
Finches,89,American Goldfinch,Spinus tristis,1,0,0,1
Finches,89,Oriental Greenfinch,Chloris sinica,4,0,0,1
Finches,89,Evening Grosbeak,Coccothraustes vespertinus,1,0,0,1
Finches,89,Hawfinch,Coccothraustes coccothraustes,4,0,0,1
Old_Sparrows,90,House Sparrow,Passer domesticus,1,0,0,1
Old_Sparrows,90,Eurasian Tree Sparrow,Passer montanus,2,0,0,1
